~iteration~,lr
0,0.0001
50,0.0001
100,0.0001
150,0.0001
173,0.0001
223,0.0001
273,0.0001
323,0.0001
346,0.0001
396,0.0001
446,0.0001
496,0.0001
519,0.0001
569,0.0001
619,0.0001
669,0.0001
0,0.0001
50,0.0001
100,0.0001
150,0.0001
692,0.0001
742,0.0001
792,0.0001
842,0.0001
173,0.0001
223,0.0001
273,0.0001
323,0.0001
865,0.0001
915,0.0001
965,0.0001
1015,0.0001
346,0.0001
396,0.0001
446,0.0001
496,0.0001
1038,0.0001
1088,0.0001
1138,0.0001
1188,0.0001
519,0.0001
569,0.0001
619,0.0001
669,0.0001
1211,0.0001
1261,0.0001
1311,0.0001
1361,0.0001
692,0.0001
742,0.0001
792,0.0001
842,0.0001
1384,0.0001
1434,0.0001
1484,0.0001
1534,0.0001
865,0.0001
915,0.0001
965,0.0001
1015,0.0001
1557,0.0001
1607,0.0001
1657,0.0001
1707,0.0001
1038,0.0001
1088,0.0001
1138,0.0001
1188,0.0001
1730,0.0001
1780,0.0001
1830,0.0001
1880,0.0001
1211,0.0001
1261,0.0001
1311,0.0001
1361,0.0001
1903,0.0001
1953,0.0001
2003,0.0001
2053,0.0001
1384,0.0001
1434,0.0001
1484,0.0001
1534,0.0001
2076,0.0001
2126,0.0001
2176,0.0001
2226,0.0001
1557,0.0001
1607,0.0001
1657,0.0001
1707,0.0001
2249,0.0001
2299,0.0001
2349,0.0001
2399,0.0001
1730,0.0001
1780,0.0001
1830,0.0001
1880,0.0001
2422,0.0001
2472,0.0001
2522,0.0001
2572,0.0001
1903,0.0001
1953,0.0001
2003,0.0001
2053,0.0001
2595,0.0001
2645,0.0001
2695,0.0001
2745,0.0001
2076,0.0001
2126,0.0001
2176,0.0001
2226,0.0001
2768,0.0001
2818,0.0001
2868,0.0001
2918,0.0001
2249,0.0001
2299,0.0001
2349,0.0001
2399,0.0001
2941,0.0001
2991,0.0001
3041,0.0001
3091,0.0001
2422,0.0001
2472,0.0001
2522,0.0001
2572,0.0001
3114,0.0001
3164,0.0001
3214,0.0001
3264,0.0001
2595,0.0001
2645,0.0001
2695,0.0001
2745,0.0001
3287,0.0001
3337,0.0001
3387,0.0001
3437,0.0001
2768,0.0001
2818,0.0001
2868,0.0001
2918,0.0001
3460,0.0001
3510,0.0001
3560,0.0001
3610,0.0001
2941,0.0001
2991,0.0001
3041,0.0001
3091,0.0001
3633,0.0001
3683,0.0001
3733,0.0001
3783,0.0001
3114,0.0001
3164,0.0001
3214,0.0001
3264,0.0001
3806,0.0001
3856,0.0001
3906,0.0001
3956,0.0001
3287,0.0001
3337,0.0001
3387,0.0001
3437,0.0001
3979,0.0001
4029,0.0001
4079,0.0001
4129,0.0001
3460,0.0001
3510,0.0001
3560,0.0001
3610,0.0001
4152,0.0001
4202,0.0001
4252,0.0001
4302,0.0001
3633,0.0001
3683,0.0001
3733,0.0001
3783,0.0001
4325,0.0001
4375,0.0001
4425,0.0001
4475,0.0001
3806,0.0001
3856,0.0001
3906,0.0001
3956,0.0001
4498,0.0001
4548,0.0001
4598,0.0001
4648,0.0001
3979,0.0001
4029,0.0001
4079,0.0001
4129,0.0001
4671,0.0001
4721,0.0001
4771,0.0001
4821,0.0001
4152,0.0001
4202,0.0001
4252,0.0001
4302,0.0001
4844,0.0001
4894,0.0001
4944,0.0001
4994,0.0001
4325,0.0001
4375,0.0001
4425,0.0001
4475,0.0001
5017,0.0001
5067,0.0001
5117,0.0001
5167,0.0001
4498,0.0001
4548,0.0001
4598,0.0001
4648,0.0001
4671,0.0001
4721,0.0001
4771,0.0001
4821,0.0001
4844,0.0001
4894,0.0001
4944,0.0001
4994,0.0001
5017,0.0001
5067,0.0001
5117,0.0001
5167,0.0001
0,0.0001
50,0.0001
100,0.0001
150,0.0001
200,0.0001
250,0.0001
0,0.0001
50,0.0001
100,0.0001
150,0.0001
200,0.0001
250,0.0001
0,0.0001
50,0.0001
100,0.0001
150,0.0001
200,0.0001
250,0.0001
