~iteration~,metric_loss,total_loss
0,1,1
50,1,1
100,1,1
150,1,1
173,1,1
223,1,1
273,1,1
323,1,1
346,1,1
396,1,1
446,1,1
496,1,1
519,1,1
569,1,1
619,1,1
669,1,1
0,1,1
50,1,1
100,1,1
150,1,1
692,1,1
742,1,1
792,1,1
842,1,1
173,1,1
223,1,1
273,1,1
323,1,1
865,1,1
915,1,1
965,1,1
1015,1,1
346,1,1
396,1,1
446,1,1
496,1,1
1038,1,1
1088,1,1
1138,1,1
1188,1,1
519,1,1
569,1,1
619,1,1
669,1,1
1211,1,1
1261,1,1
1311,1,1
1361,1,1
692,1,1
742,1,1
792,1,1
842,1,1
1384,1,1
1434,1,1
1484,1,1
1534,1,1
865,1,1
915,1,1
965,1,1
1015,1,1
1557,1,1
1607,1,1
1657,1,1
1707,1,1
1038,1,1
1088,1,1
1138,1,1
1188,1,1
1730,1,1
1780,1,1
1830,1,1
1880,1,1
1211,1,1
1261,1,1
1311,1,1
1361,1,1
1903,1,1
1953,1,1
2003,1,1
2053,1,1
1384,1,1
1434,1,1
1484,1,1
1534,1,1
2076,1,1
2126,1,1
2176,1,1
2226,1,1
1557,1,1
1607,1,1
1657,1,1
1707,1,1
2249,1,1
2299,1,1
2349,1,1
2399,1,1
1730,1,1
1780,1,1
1830,1,1
1880,1,1
2422,1,1
2472,1,1
2522,1,1
2572,1,1
1903,1,1
1953,1,1
2003,1,1
2053,1,1
2595,1,1
2645,1,1
2695,1,1
2745,1,1
2076,1,1
2126,1,1
2176,1,1
2226,1,1
2768,1,1
2818,1,1
2868,1,1
2918,1,1
2249,1,1
2299,1,1
2349,1,1
2399,1,1
2941,1,1
2991,1,1
3041,1,1
3091,1,1
2422,1,1
2472,1,1
2522,1,1
2572,1,1
3114,1,1
3164,1,1
3214,1,1
3264,1,1
2595,1,1
2645,1,1
2695,1,1
2745,1,1
3287,1,1
3337,1,1
3387,1,1
3437,1,1
2768,1,1
2818,1,1
2868,1,1
2918,1,1
3460,1,1
3510,1,1
3560,1,1
3610,1,1
2941,1,1
2991,1,1
3041,1,1
3091,1,1
3633,1,1
3683,1,1
3733,1,1
3783,1,1
3114,1,1
3164,1,1
3214,1,1
3264,1,1
3806,1,1
3856,1,1
3906,1,1
3956,1,1
3287,1,1
3337,1,1
3387,1,1
3437,1,1
3979,1,1
4029,1,1
4079,1,1
4129,1,1
3460,1,1
3510,1,1
3560,1,1
3610,1,1
4152,1,1
4202,1,1
4252,1,1
4302,1,1
3633,1,1
3683,1,1
3733,1,1
3783,1,1
4325,1,1
4375,1,1
4425,1,1
4475,1,1
3806,1,1
3856,1,1
3906,1,1
3956,1,1
4498,1,1
4548,1,1
4598,1,1
4648,1,1
3979,1,1
4029,1,1
4079,1,1
4129,1,1
4671,1,1
4721,1,1
4771,1,1
4821,1,1
4152,1,1
4202,1,1
4252,1,1
4302,1,1
4844,1,1
4894,1,1
4944,1,1
4994,1,1
4325,1,1
4375,1,1
4425,1,1
4475,1,1
5017,1,1
5067,1,1
5117,1,1
5167,1,1
4498,1,1
4548,1,1
4598,1,1
4648,1,1
4671,1,1
4721,1,1
4771,1,1
4821,1,1
4844,1,1
4894,1,1
4944,1,1
4994,1,1
5017,1,1
5067,1,1
5117,1,1
5167,1,1
0,1,1
50,1,1
100,1,1
150,1,1
200,1,1
250,1,1
0,1,1
50,1,1
100,1,1
150,1,1
200,1,1
250,1,1
0,1,1
50,1,1
100,1,1
150,1,1
200,1,1
250,1,1
