~iteration~,p,power
0,2,1
50,2,1
100,2,1
150,2,1
173,2,1
223,2,1
273,2,1
323,2,1
346,2,1
396,2,1
446,2,1
496,2,1
519,2,1
569,2,1
619,2,1
669,2,1
692,2,1
742,2,1
792,2,1
842,2,1
865,2,1
915,2,1
965,2,1
1015,2,1
1038,2,1
1088,2,1
1138,2,1
1188,2,1
1211,2,1
1261,2,1
1311,2,1
1361,2,1
1384,2,1
1434,2,1
1484,2,1
1534,2,1
1557,2,1
1607,2,1
1657,2,1
1707,2,1
1730,2,1
1780,2,1
1830,2,1
1880,2,1
1903,2,1
1953,2,1
2003,2,1
2053,2,1
2076,2,1
2126,2,1
2176,2,1
2226,2,1
2249,2,1
2299,2,1
2349,2,1
2399,2,1
2422,2,1
2472,2,1
2522,2,1
2572,2,1
2595,2,1
2645,2,1
2695,2,1
2745,2,1
2768,2,1
2818,2,1
2868,2,1
2918,2,1
2941,2,1
2991,2,1
3041,2,1
3091,2,1
3114,2,1
3164,2,1
3214,2,1
3264,2,1
3287,2,1
3337,2,1
3387,2,1
3437,2,1
3460,2,1
3510,2,1
3560,2,1
3610,2,1
3633,2,1
3683,2,1
3733,2,1
3783,2,1
3806,2,1
3856,2,1
3906,2,1
3956,2,1
3979,2,1
4029,2,1
4079,2,1
4129,2,1
4152,2,1
4202,2,1
4252,2,1
4302,2,1
4325,2,1
4375,2,1
4425,2,1
4475,2,1
4498,2,1
4548,2,1
4598,2,1
4648,2,1
4671,2,1
4721,2,1
4771,2,1
4821,2,1
4844,2,1
4894,2,1
4944,2,1
4994,2,1
5017,2,1
5067,2,1
5117,2,1
5167,2,1
