~iteration~,margin
0,0.2
50,0.2
100,0.2
150,0.2
173,0.2
223,0.2
273,0.2
323,0.2
346,0.2
396,0.2
446,0.2
496,0.2
519,0.2
569,0.2
619,0.2
669,0.2
692,0.2
742,0.2
792,0.2
842,0.2
865,0.2
915,0.2
965,0.2
1015,0.2
1038,0.2
1088,0.2
1138,0.2
1188,0.2
1211,0.2
1261,0.2
1311,0.2
1361,0.2
1384,0.2
1434,0.2
1484,0.2
1534,0.2
1557,0.2
1607,0.2
1657,0.2
1707,0.2
1730,0.2
1780,0.2
1830,0.2
1880,0.2
1903,0.2
1953,0.2
2003,0.2
2053,0.2
2076,0.2
2126,0.2
2176,0.2
2226,0.2
2249,0.2
2299,0.2
2349,0.2
2399,0.2
2422,0.2
2472,0.2
2522,0.2
2572,0.2
2595,0.2
2645,0.2
2695,0.2
2745,0.2
2768,0.2
2818,0.2
2868,0.2
2918,0.2
2941,0.2
2991,0.2
3041,0.2
3091,0.2
3114,0.2
3164,0.2
3214,0.2
3264,0.2
3287,0.2
3337,0.2
3387,0.2
3437,0.2
3460,0.2
3510,0.2
3560,0.2
3610,0.2
3633,0.2
3683,0.2
3733,0.2
3783,0.2
3806,0.2
3856,0.2
3906,0.2
3956,0.2
3979,0.2
4029,0.2
4079,0.2
4129,0.2
4152,0.2
4202,0.2
4252,0.2
4302,0.2
4325,0.2
4375,0.2
4425,0.2
4475,0.2
4498,0.2
4548,0.2
4598,0.2
4648,0.2
4671,0.2
4721,0.2
4771,0.2
4821,0.2
4844,0.2
4894,0.2
4944,0.2
4994,0.2
5017,0.2
5067,0.2
5117,0.2
5167,0.2
