~iteration~,epsilon
0,0.1
50,0.1
100,0.1
150,0.1
173,0.1
223,0.1
273,0.1
323,0.1
346,0.1
396,0.1
446,0.1
496,0.1
519,0.1
569,0.1
619,0.1
669,0.1
0,0.1
50,0.1
100,0.1
150,0.1
692,0.1
742,0.1
792,0.1
842,0.1
173,0.1
223,0.1
273,0.1
323,0.1
865,0.1
915,0.1
965,0.1
1015,0.1
346,0.1
396,0.1
446,0.1
496,0.1
1038,0.1
1088,0.1
1138,0.1
1188,0.1
519,0.1
569,0.1
619,0.1
669,0.1
1211,0.1
1261,0.1
1311,0.1
1361,0.1
692,0.1
742,0.1
792,0.1
842,0.1
1384,0.1
1434,0.1
1484,0.1
1534,0.1
865,0.1
915,0.1
965,0.1
1015,0.1
1557,0.1
1607,0.1
1657,0.1
1707,0.1
1038,0.1
1088,0.1
1138,0.1
1188,0.1
1730,0.1
1780,0.1
1830,0.1
1880,0.1
1211,0.1
1261,0.1
1311,0.1
1361,0.1
1903,0.1
1953,0.1
2003,0.1
2053,0.1
1384,0.1
1434,0.1
1484,0.1
1534,0.1
2076,0.1
2126,0.1
2176,0.1
2226,0.1
1557,0.1
1607,0.1
1657,0.1
1707,0.1
2249,0.1
2299,0.1
2349,0.1
2399,0.1
1730,0.1
1780,0.1
1830,0.1
1880,0.1
2422,0.1
2472,0.1
2522,0.1
2572,0.1
1903,0.1
1953,0.1
2003,0.1
2053,0.1
2595,0.1
2645,0.1
2695,0.1
2745,0.1
2076,0.1
2126,0.1
2176,0.1
2226,0.1
2768,0.1
2818,0.1
2868,0.1
2918,0.1
2249,0.1
2299,0.1
2349,0.1
2399,0.1
2941,0.1
2991,0.1
3041,0.1
3091,0.1
2422,0.1
2472,0.1
2522,0.1
2572,0.1
3114,0.1
3164,0.1
3214,0.1
3264,0.1
2595,0.1
2645,0.1
2695,0.1
2745,0.1
3287,0.1
3337,0.1
3387,0.1
3437,0.1
2768,0.1
2818,0.1
2868,0.1
2918,0.1
3460,0.1
3510,0.1
3560,0.1
3610,0.1
2941,0.1
2991,0.1
3041,0.1
3091,0.1
3633,0.1
3683,0.1
3733,0.1
3783,0.1
3114,0.1
3164,0.1
3214,0.1
3264,0.1
3806,0.1
3856,0.1
3906,0.1
3956,0.1
3287,0.1
3337,0.1
3387,0.1
3437,0.1
3979,0.1
4029,0.1
4079,0.1
4129,0.1
3460,0.1
3510,0.1
3560,0.1
3610,0.1
4152,0.1
4202,0.1
4252,0.1
4302,0.1
3633,0.1
3683,0.1
3733,0.1
3783,0.1
4325,0.1
4375,0.1
4425,0.1
4475,0.1
3806,0.1
3856,0.1
3906,0.1
3956,0.1
4498,0.1
4548,0.1
4598,0.1
4648,0.1
3979,0.1
4029,0.1
4079,0.1
4129,0.1
4671,0.1
4721,0.1
4771,0.1
4821,0.1
4152,0.1
4202,0.1
4252,0.1
4302,0.1
4844,0.1
4894,0.1
4944,0.1
4994,0.1
4325,0.1
4375,0.1
4425,0.1
4475,0.1
5017,0.1
5067,0.1
5117,0.1
5167,0.1
4498,0.1
4548,0.1
4598,0.1
4648,0.1
4671,0.1
4721,0.1
4771,0.1
4821,0.1
4844,0.1
4894,0.1
4944,0.1
4994,0.1
5017,0.1
5067,0.1
5117,0.1
5167,0.1
0,0.1
50,0.1
100,0.1
150,0.1
200,0.1
250,0.1
0,0.1
50,0.1
100,0.1
150,0.1
200,0.1
250,0.1
0,0.1
50,0.1
100,0.1
150,0.1
200,0.1
250,0.1
